vector,component,data,1636472380.880574,1637932543.544041,1642441679.139754
angular_velocity,x,lb,-0.017000,-0.018000,-0.018000
angular_velocity,x,ub,-0.003000,-0.005000,-0.003000
angular_velocity,x,mid,0.014000,0.013000,-0.010500
angular_velocity,x,mean,-0.013048,-0.013349,-0.013011
angular_velocity,y,lb,-0.021000,-0.021000,-0.021000
angular_velocity,y,ub,-0.003000,-0.010000,-0.003000
angular_velocity,y,mid,0.018000,0.011000,-0.012000
angular_velocity,y,mean,-0.013939,-0.014527,-0.013949
angular_velocity,z,lb,0.035000,0.038000,0.035000
angular_velocity,z,ub,0.049000,0.049000,0.049000
angular_velocity,z,mid,0.014000,0.011000,0.042000
angular_velocity,z,mean,0.042712,0.042817,0.042809
linear_acceleration,x,lb,0.049000,0.078000,0.049000
linear_acceleration,x,ub,0.293000,0.255000,0.293000
linear_acceleration,x,mid,0.244000,0.177000,0.171000
linear_acceleration,x,mean,0.170238,0.169175,0.173258
linear_acceleration,y,lb,0.125000,0.178000,0.125000
linear_acceleration,y,ub,0.442000,0.442000,0.442000
linear_acceleration,y,mid,0.317000,0.264000,0.283500
linear_acceleration,y,mean,0.278220,0.273171,0.281074
linear_acceleration,z,lb,9.535000,9.540000,9.535000
linear_acceleration,z,ub,9.975000,9.918000,9.975000
linear_acceleration,z,mid,0.440000,0.378000,9.755000
linear_acceleration,z,mean,9.738167,9.739706,9.745843
